HDI Rank,Country,GDI_Value,GDI_Group,HDI_Female,HDI_Male,Lif_Expec_Female,Lif_Excep_Male,Excep_Yrs_Schooling_Female,Excep_Yrs_Schooling_Male,Mean_Yrs_Schooling_Female,Mean_Yrs_Schooling_Male,GNI_PC_Female,GNI_PC_Male
14,New Zealand,0.964,2,0.912,0.946,84.0,80.6,19.7,17.9,12.7,12.9,"31,233","50,693"
16,Canada,0.986,1,0.922,0.935,84.4,80.4,16.7,15.7,13.4,13.3,"39,459","57,734"
17,United States,0.994,1,0.922,0.928,81.4,76.3,16.9,15.7,13.5,13.4,"50,590","77,338"
18,Austria,0.964,2,0.903,0.937,83.9,79.2,16.4,15.8,12.2,12.9,"39,386","73,528"
19,Israel,0.973,2,0.904,0.929,84.5,81.3,16.8,15.6,13.1,13.0,"29,665","50,819"
19,Japan,0.978,1,0.906,0.927,87.7,81.5,15.2,15.3,13.1,12.6,"30,584","55,869"
19,Liechtenstein,..,..,..,..,..,..,13.8,16.0,..,..,..,..
22,Slovenia,1.001,1,0.916,0.914,84.0,78.6,18.3,16.8,12.6,12.7,"33,885","42,312"
23,Korea (Republic of),0.936,3,0.881,0.941,86.0,79.9,15.9,17.0,11.4,12.9,"27,734","58,309"
23,Luxembourg,0.976,1,0.901,0.923,84.3,80.2,14.3,14.2,12.0,12.6,"58,642","86,488"
25,Spain,0.986,1,0.896,0.909,86.2,80.8,18.0,17.2,10.2,10.3,"32,881","49,356"
26,France,0.987,1,0.895,0.907,85.5,79.7,16.0,15.3,11.3,11.7,"39,478","55,375"
27,Czechia,0.985,1,0.893,0.906,81.9,76.8,17.5,16.1,12.5,12.9,"29,480","47,012"
28,Malta,0.966,2,0.877,0.909,84.3,80.7,16.5,15.7,11.1,11.6,"29,368","49,686"
29,Estonia,1.017,1,0.896,0.882,82.7,74.4,16.8,15.2,13.6,12.7,"27,086","45,984"
29,Italy,0.968,2,0.875,0.905,85.5,81.3,16.4,15.8,10.2,10.6,"31,639","54,529"
31,United Arab Emirates,0.931,3,0.842,0.905,79.3,77.3,14.8,14.1,11.7,12.4,"28,578","84,723"
32,Greece,0.963,2,0.869,0.902,84.7,79.8,17.5,18.1,10.3,10.8,"24,062","36,476"
33,Cyprus,0.979,1,0.876,0.895,83.0,78.9,15.4,14.9,12.1,12.3,"31,881","44,533"
34,Lithuania,1.030,2,0.894,0.868,81.4,70.3,17.1,16.2,13.1,13.0,"30,987","41,389"
35,Poland,1.007,1,0.880,0.874,82.6,74.8,16.9,15.3,12.5,12.4,"24,827","38,850"
36,Andorra,..,..,..,..,..,..,..,..,10.4,10.6,..,..
37,Latvia,1.036,2,0.879,0.849,80.0,70.2,16.8,15.5,13.4,12.6,"25,758","35,584"
38,Portugal,0.988,1,0.858,0.868,84.9,79.0,16.5,16.6,9.4,9.1,"28,937","39,571"
39,Slovakia,0.992,1,0.855,0.862,81.0,74.0,15.0,14.0,12.6,12.8,"24,618","40,014"
40,Hungary,0.981,1,0.844,0.861,80.3,73.2,15.5,14.9,11.7,12.2,"23,170","40,316"
40,Saudi Arabia,0.896,5,0.791,0.883,76.8,73.9,16.0,16.2,9.8,10.5,"16,512","70,181"
42,Bahrain,0.922,4,0.806,0.874,78.4,76.4,16.7,16.1,9.1,9.7,"19,059","55,565"
43,Chile,0.963,2,0.833,0.865,82.4,77.8,16.7,16.2,10.5,10.7,"16,398","30,322"
43,Croatia,0.990,1,0.848,0.857,81.6,75.3,16.0,14.5,11.1,12.2,"23,775","32,689"
45,Qatar,1.030,2,0.866,0.841,82.0,79.1,14.1,11.3,11.3,9.4,"45,338","107,833"
46,Argentina,0.993,1,0.835,0.840,80.0,73.2,18.9,16.4,11.1,10.7,"14,872","27,826"
47,Brunei Darussalam,0.981,1,0.830,0.846,77.1,74.7,14.8,13.9,9.1,9.2,"54,386","72,835"
48,Montenegro,0.966,2,0.814,0.843,79.3,74.4,15.4,14.7,10.9,12.3,"17,518","25,368"
49,Romania,0.991,1,0.824,0.831,79.5,72.6,14.7,13.9,10.8,11.4,"24,433","34,846"
50,Palau,..,..,..,..,..,..,16.3,15.3,..,..,..,..
51,Kazakhstan,0.980,1,0.807,0.823,77.7,69.2,15.8,15.1,10.9,11.9,"16,791","29,296"
52,Russian Federation,1.007,1,0.823,0.817,77.8,67.1,15.3,14.8,11.9,12.1,"19,694","33,640"
53,Belarus,1.007,1,0.824,0.819,79.6,69.7,15.7,15.2,12.2,12.4,"14,911","22,721"
54,Turkey,0.924,4,0.784,0.848,80.6,74.7,16.0,17.1,7.3,9.0,"17,854","37,807"
55,Uruguay,1.016,1,0.814,0.801,81.5,74.1,17.1,15.1,9.2,8.6,"15,445","25,008"
56,Bulgaria,0.995,1,0.813,0.817,78.7,71.6,14.6,14.2,11.5,11.2,"18,453","28,483"
57,Panama,1.019,1,0.826,0.811,81.8,75.4,13.5,12.4,11.2,10.0,"24,050","35,049"
58,Bahamas,..,..,..,..,76.1,71.7,..,..,11.7,11.4,"27,560","40,295"
58,Barbados,1.008,1,0.816,0.809,80.5,77.8,16.8,14.0,11.0,10.3,"12,656","17,370"
60,Oman,0.936,3,0.768,0.821,80.3,76.1,15.0,13.7,10.6,9.4,"7,959","35,201"
61,Georgia,0.980,1,0.800,0.817,78.1,69.3,15.5,15.0,13.2,13.1,"9,475","19,864"
62,Costa Rica,0.981,1,0.802,0.818,82.9,77.7,16.4,15.4,8.9,8.6,"13,476","23,501"
62,Malaysia,0.972,2,0.797,0.821,78.3,74.2,14.0,13.3,10.3,10.5,"20,825","33,877"
64,Kuwait,0.983,1,0.793,0.807,76.6,74.8,15.2,13.2,8.0,6.8,"31,698","75,840"
64,Serbia,0.977,1,0.797,0.815,78.6,73.4,15.3,14.2,10.8,11.6,"13,990","20,525"
66,Mauritius,0.976,1,0.791,0.811,78.5,71.7,15.7,14.4,9.4,9.7,"15,870","34,898"
67,Seychelles,..,..,..,..,77.4,69.9,15.3,13.1,9.9,10.1,..,..
67,Trinidad and Tobago,1.003,1,0.796,0.793,76.2,70.9,14.0,12.0,11.1,10.9,"20,482","32,121"
69,Albania,0.967,2,0.780,0.807,80.2,77.0,15.5,14.0,9.7,10.6,"11,004","16,885"
70,Cuba,0.944,3,0.754,0.799,80.8,76.8,14.7,13.9,11.2,11.8,"5,714","11,567"
70,Iran (Islamic Republic of),0.866,5,0.709,0.819,77.9,75.6,14.6,15.0,10.3,10.4,"4,084","20,637"
72,Sri Lanka,0.955,2,0.759,0.794,80.3,73.6,14.5,13.8,10.6,10.6,"7,433","18,423"
73,Bosnia and Herzegovina,0.937,3,0.753,0.803,79.9,74.9,14.1,13.5,8.9,10.9,"10,567","19,357"
74,Grenada,..,..,..,..,75.0,70.1,17.0,16.2,..,..,..,..
74,Mexico,0.960,2,0.760,0.792,77.9,72.2,15.0,14.6,8.6,8.9,"12,765","25,838"
74,Saint Kitts and Nevis,..,..,..,..,..,..,14.0,13.7,..,..,..,..
74,Ukraine,1.000,1,0.776,0.776,76.8,67.1,15.3,14.9,11.3,11.3,"10,088","16,840"
78,Antigua and Barbuda,..,..,..,..,78.1,75.9,13.2,12.1,..,..,..,..
79,Peru,0.957,2,0.759,0.793,79.5,74.1,14.9,15.1,9.1,10.3,"9,889","14,647"
79,Thailand,1.008,1,0.782,0.776,80.9,73.5,15.8,14.7,7.7,8.2,"15,924","19,737"
81,Armenia,0.982,1,0.766,0.780,78.5,71.3,13.6,12.6,11.3,11.3,"9,737","18,574"
82,North Macedonia,0.952,2,0.753,0.791,77.8,73.8,13.8,13.4,9.4,10.2,"11,698","20,027"
83,Colombia,0.989,1,0.761,0.770,80.0,74.5,14.7,14.1,8.6,8.3,"11,594","17,018"
84,Brazil,0.993,1,0.760,0.765,79.6,72.2,15.8,15.1,8.2,7.7,"10,535","18,120"
85,China,0.957,2,0.744,0.777,79.2,74.8,14.0,14.0,7.7,8.4,"12,633","19,308"
86,Ecuador,0.967,2,0.743,0.768,79.8,74.3,14.9,14.3,8.7,8.9,"7,874","14,211"
86,Saint Lucia,0.985,1,0.752,0.763,77.6,74.9,14.7,13.3,8.8,8.2,"11,476","17,851"
88,Azerbaijan,0.943,3,0.730,0.774,75.5,70.5,13.0,12.8,10.2,10.9,"8,919","18,664"
88,Dominican Republic,0.999,1,0.759,0.760,77.4,71.0,15.0,13.5,8.8,8.3,"12,449","22,740"
90,Moldova (Republic of),1.014,1,0.754,0.744,76.2,67.6,11.8,11.3,11.8,11.6,"11,994","15,477"
91,Algeria,0.858,5,0.671,0.782,78.1,75.7,14.8,14.4,7.7,8.3,"3,296","18,891"
92,Lebanon,0.892,5,0.691,0.774,80.9,77.1,11.1,11.5,8.5,8.9,"6,078","23,124"
93,Fiji,..,..,..,..,69.3,65.7,..,..,11.0,10.8,"8,317","17,577"
94,Dominica,..,..,..,..,..,..,..,..,..,..,..,..
95,Maldives,0.923,4,0.698,0.756,80.8,77.5,12.3,12.1,7.0,7.0,"7,908","22,931"
95,Tunisia,0.900,4,0.689,0.766,78.7,74.7,15.8,14.3,6.5,8.0,"4,587","16,341"
97,Saint Vincent and the Grenadines,0.965,2,0.724,0.750,75.1,70.3,14.2,14.0,8.9,8.7,"8,880","15,776"
97,Suriname,0.985,1,0.729,0.740,75.1,68.5,13.8,12.5,9.4,9.1,"9,504","19,093"
99,Mongolia,1.023,1,0.744,0.727,74.1,65.8,14.8,13.7,10.7,9.7,"8,756","12,981"
100,Botswana,0.998,1,0.734,0.735,72.4,66.5,13.0,12.7,9.5,9.7,"15,276","17,677"
101,Jamaica,0.994,1,0.730,0.735,76.1,72.9,13.9,12.4,10.2,9.3,"7,501","11,163"
102,Jordan,0.875,5,0.664,0.758,76.3,72.8,11.6,11.1,10.3,10.7,"3,324","16,234"
103,Paraguay,0.966,2,0.714,0.739,76.4,72.3,13.0,12.4,8.5,8.5,"8,855","15,483"
104,Tonga,0.950,3,0.702,0.739,72.9,69.0,14.6,14.0,11.3,11.2,"4,311","8,416"
105,Libya,0.976,1,0.713,0.731,76.0,70.1,13.1,12.6,8.5,7.2,"9,249","21,999"
106,Uzbekistan,0.939,3,0.695,0.740,73.8,69.6,11.9,12.2,11.6,12.0,"5,064","9,230"
107,Bolivia (Plurinational State of),0.945,3,0.696,0.737,74.5,68.7,14.2,14.2,8.3,9.8,"6,481","10,610"
107,Indonesia,0.940,3,0.694,0.738,74.0,69.6,13.7,13.5,7.8,8.6,"7,902","14,966"
107,Philippines,1.007,1,0.720,0.715,75.5,67.3,13.5,12.8,9.6,9.2,"7,843","11,694"
110,Belize,0.976,1,0.706,0.723,77.8,71.7,13.4,12.8,9.9,9.9,"4,896","7,881"
111,Samoa,..,..,..,..,75.5,71.3,13.2,12.3,..,..,"4,054","8,410"
111,Turkmenistan,..,..,..,..,71.7,64.7,10.9,11.5,..,..,"10,493","19,461"
113,Venezuela (Bolivarian Republic of),1.009,1,0.712,0.706,76.0,68.3,13.8,11.8,10.6,10.0,"5,173","8,973"
114,South Africa,0.986,1,0.702,0.712,67.7,60.7,14.2,13.4,10.0,10.3,"9,248","15,095"
115,"Palestine, State of",0.870,5,0.638,0.733,75.8,72.4,14.3,12.6,8.9,9.4,"2,045","10,666"
116,Egypt,0.882,5,0.652,0.739,74.4,69.7,13.3,13.3,6.8,8.1,"4,753","18,039"
117,Marshall Islands,..,..,..,..,..,..,..,..,10.7,11.1,..,..
117,Viet Nam,0.997,1,0.703,0.705,79.5,71.3,12.9,12.5,8.0,8.6,"6,644","8,224"
119,Gabon,0.916,4,0.670,0.731,68.7,64.4,12.6,13.4,7.8,9.6,"9,925","17,791"
120,Kyrgyzstan,0.957,2,0.677,0.707,75.6,67.4,13.2,12.7,11.2,11.0,"2,971","6,798"
121,Morocco,0.835,5,0.612,0.734,77.9,75.4,13.3,14.1,4.7,6.6,"2,975","11,831"
122,Guyana,0.961,2,0.662,0.688,73.1,66.9,11.6,11.3,8.9,8.0,"5,359","13,512"
123,Iraq,0.774,5,0.566,0.731,72.7,68.6,10.4,12.2,6.0,8.6,"2,427","18,975"
124,El Salvador,0.975,2,0.662,0.679,77.8,68.5,11.5,11.7,6.6,7.3,"6,471","10,501"
125,Tajikistan,0.823,5,0.586,0.712,73.4,68.9,10.7,12.6,10.2,11.3,"1,440","6,427"
126,Cabo Verde,0.974,2,0.655,0.672,76.2,69.5,13.0,12.4,6.0,6.6,"5,453","8,573"
127,Guatemala,0.941,3,0.639,0.679,77.2,71.4,10.6,10.9,6.6,6.7,"5,451","11,629"
128,Nicaragua,1.012,1,0.663,0.655,78.0,70.9,12.6,12.1,7.2,6.6,"4,656","5,930"
129,Bhutan,0.921,4,0.626,0.679,72.2,71.4,13.5,12.8,3.3,4.8,"8,117","13,069"
130,Namibia,1.007,1,0.648,0.643,66.5,60.7,12.7,12.5,7.3,6.7,"8,482","10,287"
131,India,0.820,5,0.573,0.699,71.0,68.5,12.6,11.7,5.4,8.7,"2,331","10,702"
132,Honduras,0.978,1,0.625,0.639,77.6,73.0,10.5,9.6,6.6,6.5,"4,173","6,446"
133,Bangladesh,0.904,4,0.596,0.660,74.6,70.9,12.0,11.2,5.7,6.9,"2,873","7,031"
134,Kiribati,..,..,..,..,72.3,64.2,12.2,11.4,..,..,..,..
135,Sao Tome and Principe,0.906,4,0.590,0.651,72.8,68.0,12.8,12.6,5.8,7.1,"2,462","5,439"
136,Micronesia (Federated States of),..,..,..,..,69.6,66.2,..,..,..,..,..,..
137,Lao People's Democratic Republic,0.927,3,0.589,0.636,69.7,66.1,10.7,11.3,4.9,5.7,"5,801","9,013"
138,Eswatini (Kingdom of),0.996,1,0.609,0.611,64.8,56.0,11.8,11.9,6.3,7.2,"7,011","8,863"
138,Ghana,0.911,4,0.582,0.639,65.2,63.0,11.4,11.6,6.6,8.1,"4,073","6,432"
140,Vanuatu,..,..,..,..,72.2,69.0,11.5,12.0,..,..,"2,406","3,784"
141,Timor-Leste,0.942,3,0.587,0.623,71.6,67.5,12.2,13.0,3.8,5.6,"4,486","4,395"
142,Nepal,0.933,3,0.581,0.623,72.2,69.3,13.0,12.6,4.3,5.8,"2,910","4,108"
143,Kenya,0.937,3,0.581,0.620,69.0,64.3,11.0,11.7,6.0,7.2,"3,666","4,829"
144,Cambodia,0.922,4,0.570,0.618,71.9,67.5,11.0,11.9,4.2,5.8,"3,697","4,822"
145,Equatorial Guinea,..,..,..,..,59.9,57.7,..,..,4.2,7.6,"9,949","17,135"
146,Zambia,0.958,2,0.569,0.593,66.9,60.8,10.7,11.6,6.3,8.2,"3,380","3,270"
147,Myanmar,0.954,2,0.564,0.592,70.1,64.0,10.9,10.5,5.0,4.9,"3,174","6,881"
148,Angola,0.903,4,0.552,0.611,64.0,58.4,11.0,12.7,4.0,6.4,"5,205","7,022"
149,Congo,0.929,3,0.555,0.598,66.0,63.1,11.6,11.9,6.1,7.5,"2,500","3,259"
150,Zimbabwe,0.931,3,0.550,0.590,62.9,59.8,10.5,11.5,8.1,8.9,"2,375","2,985"
151,Solomon Islands,..,..,..,..,74.9,71.3,9.7,10.7,..,..,"1,974","2,523"
151,Syrian Arab Republic,0.829,5,0.492,0.593,78.1,67.9,8.9,8.8,4.6,5.6,989,"6,225"
153,Cameroon,0.864,5,0.521,0.603,60.6,58.0,11.3,12.9,4.7,8.0,"2,973","4,189"
154,Pakistan,0.745,5,0.456,0.612,68.3,66.3,7.6,8.9,3.8,6.3,"1,393","8,412"
155,Papua New Guinea,..,..,..,..,65.8,63.3,..,..,4.0,5.3,"3,767","4,814"
156,Comoros,0.891,5,0.519,0.583,66.1,62.6,11.1,11.4,4.0,6.0,"2,300","3,885"
157,Mauritania,0.864,5,0.500,0.579,66.5,63.3,8.7,8.5,3.8,5.6,"2,782","7,468"
158,Benin,0.855,5,0.502,0.587,63.3,60.2,11.4,13.8,2.4,5.5,"2,837","3,673"
159,Uganda,0.863,5,0.503,0.582,65.6,61.0,10.6,12.2,4.9,7.6,"1,591","2,671"
160,Rwanda,0.945,3,0.528,0.558,71.1,66.8,11.2,11.2,4.0,4.9,"1,876","2,444"
161,Nigeria,0.881,5,0.504,0.572,55.6,53.8,9.4,10.6,5.7,7.7,"4,107","5,692"
162,Côte d'Ivoire,0.811,5,0.476,0.586,59.1,56.6,9.0,10.9,4.2,6.4,"2,561","7,531"
163,Tanzania (United Republic of),0.948,3,0.514,0.542,67.2,63.6,8.2,8.0,5.8,6.4,"2,222","2,978"
164,Madagascar,0.952,2,0.513,0.539,68.7,65.4,10.2,10.2,6.4,5.8,"1,273","1,921"
165,Lesotho,1.014,1,0.529,0.522,57.6,51.2,11.7,10.9,7.2,5.8,"2,471","3,849"
166,Djibouti,..,..,..,..,69.4,65.1,6.7,6.9,..,..,"4,151","7,077"
167,Togo,0.822,5,0.464,0.565,61.9,60.2,11.5,13.8,3.5,6.7,"1,220","1,989"
168,Senegal,0.870,5,0.475,0.546,69.9,65.8,8.9,8.2,1.9,4.6,"2,271","4,401"
169,Afghanistan,0.659,5,0.391,0.593,66.4,63.4,7.7,12.5,1.9,6.0,819,"3,566"
170,Haiti,0.875,5,0.473,0.540,66.2,61.8,9.0,10.4,4.3,6.6,"1,410","2,016"
170,Sudan,0.860,5,0.466,0.542,67.2,63.5,7.7,8.3,3.3,4.2,"1,981","5,679"
172,Gambia,0.846,5,0.448,0.530,63.5,60.7,10.0,9.8,3.3,4.6,"1,145","3,207"
173,Ethiopia,0.837,5,0.442,0.527,68.5,64.7,8.3,9.3,1.7,4.3,"1,642","2,771"
174,Malawi,0.986,1,0.493,0.500,67.4,61.1,11.2,11.3,6.9,5.2,838,"1,237"
175,Congo (Democratic Republic of the),0.845,5,0.439,0.520,62.2,59.1,8.6,10.8,5.3,8.4,907,"1,218"
175,Guinea-Bissau,..,..,..,..,60.2,56.3,..,..,..,..,"1,647","2,361"
175,Liberia,0.890,5,0.453,0.509,65.5,62.7,9.2,10.4,3.5,6.2,"1,242","1,275"
178,Guinea,0.817,5,0.428,0.524,62.1,60.9,8.0,10.8,1.5,4.2,"2,266","2,554"
179,Yemen,0.488,5,0.270,0.553,67.8,64.4,7.4,10.2,2.9,5.1,186,"2,980"
180,Eritrea,..,..,..,..,68.6,64.2,4.6,5.4,..,..,"2,275","3,309"
181,Mozambique,0.912,4,0.435,0.476,63.7,57.8,9.5,10.5,2.7,4.5,"1,131","1,377"
182,Burkina Faso,0.867,5,0.418,0.482,62.3,60.7,9.1,9.4,1.1,2.3,"1,541","2,727"
182,Sierra Leone,0.884,5,0.423,0.479,55.5,53.9,9.7,10.6,2.9,4.5,"1,470","1,867"
184,Mali,0.821,5,0.388,0.473,60.1,58.5,6.8,8.1,1.7,3.0,"1,516","3,019"
185,Burundi,0.999,1,0.432,0.432,63.4,59.8,11.0,11.1,2.6,4.1,866,640
185,South Sudan,0.842,5,0.384,0.456,59.4,56.4,3.5,5.9,3.9,5.2,"1,759","2,247"
187,Chad,0.764,5,0.342,0.448,55.7,52.8,5.9,8.8,1.3,3.8,"1,244","1,868"
188,Central African Republic,0.801,5,0.351,0.438,55.5,51.1,6.2,8.9,3.0,5.6,792,"1,197"
189,Niger,0.724,5,0.321,0.443,63.6,61.3,5.7,7.2,1.4,2.8,536,"1,859"
